Title,Ingredients
粤菜：鲍鱼汁辣椒炒土鱿,"['700克新鲜土鱿鱼', '一个青椒', '半个红椒', '小半个洋葱', '13克姜', '35克蒜瓣', '四根红头葱', '1小勺盐', '约20克油', '调料：调料：', '1小勺玉米淀粉', '1小勺鸡精', '15克鲍鱼汁', '15克料酒', '15克生抽', '3克糖', '1克自磨胡椒粉', '少许盐（鱿鱼腌制）', '少许料酒（鱿鱼腌制）']"
芋头炖骨汤,"['500克芋头', '300克猪骨汤', '5克料酒', '适量盐', '1块生姜', '适量香葱']"
卤豆腐干（麻辣口味）,"['白豆腐干', '酱油', '糖、盐', '干辣椒', '花椒、麻椒、大料、桂皮、草果', '香叶、小茴香、肉蔻、白芷、丁香', '葱、姜、大蒜']"
卤鸭,"['半只鸭', '少许（用来上色）老抽', '适量生抽', '适量料酒', '适量盐', '适量红腐乳', '适量蚝油', '适量蒜蓉']"
366 香蕉草莓奥利奥冰激凌,['冻香蕉2根   冻草莓50克   冻淡奶油60克   奥利奥饼干3块']
爽脆萝卜条,"['1根白萝卜', '1根胡萝卜', '适量泰椒', '适量白醋', '适量白糖', '适量花椒', '适量生姜', '适量盐']"
炸油酥角,"['酥皮', '1个鸡蛋', '500克普通面粉或低筋面粉', '150克热水', '50克白糖', '175克猪油', '内馅', '适量白芝麻', '适量黑芝麻', '适量白砂糖', '适量椰蓉', '适量花生碎']"
青椒鸡蛋酱,"['一个青椒', '两或三个鸡蛋', '依照个人口味豆瓣酱', '少许白糖', '少许（出锅时放）鸡精']"
下饭菜-洋葱炒蘑菇（低盐低糖）,"['少许橄榄油', '1个洋葱', '4个口蘑', '少许培根粒（可用牛肉沫替代）', '少许盐', '1克糖']"
雪人拼盘+海参辛拉面+芒果捞+香芋奶,"['1袋幸拉面', '半根黄瓜', '半根胡萝卜', '少量盐', '少量胡椒粉', '少量芝麻油', '1个鸡蛋', '2个海参', '1个吐司', '适量淡奶油', '少量蓝莓', '少量海苔', '1个芒果', '4个小毛芋头', '150ml牛奶']"
茶树菇莲藕素汤（入门级）,"['少许茶树菇', '一个玉米🌽', '少许花生', '一小截莲藕']"
桂花杏仁豆腐,"['一罐杏仁露', '两片吉利丁片', '适量糖桂花']"
带你穿越意大利🌈海鲜彩虹Pizza,"['6寸Pizza饼胚', '15-20克马苏里拉芝士', '少许玉米粒', '少许小青豆', '少许胡萝卜丁', '6只黑虎虾', '1根台湾香肠', '少许烧烤酱']"
[雪球厨房]酱爆茄子,"['3个茄子', '若干瓣大蒜', '1个辣椒', '若干勺豆瓣酱', '3克糖', '2勺料酒']"
吃一次就爱上的武汉热干面，原来这么简单,"['300克碱面', '5克老抽', '15克生抽', '25克芝麻油', '30克芝麻酱', '10克蚝油', '适量武汉萝卜干', '适量小葱', '适量酸豆角', '适量榨菜']"
💕包粽子（附小视频）,"['2000克糯米', '适量粽叶', '适量红枣', '适量绳']"
草莓山药泥夹心蛋糕,"['20个草莓', '4X5cm小段山药', '2小勺蜂蜜', '各1块6寸和4寸心形绢豆腐蛋糕', '1份坚果仁']"
自制豆芽菜,"['多少都可以绿豆', '水']"
韭菜摊鸡蛋,"['3至4颗鸡蛋', '一小把韭菜', '盐']"
韩式泡菜（辣白菜）,"['2棵白菜', '1根胡萝卜', '半个白萝卜', '1块姜', '3头蒜', '2把葱（或韭菜）', '半个洋葱', '200克粗盐', '60克糯米粉', '各120克粗辣椒面，细辣椒面', '35毫升鱼露', '35克糖', '半个苹果（或者梨）']"
小葱烧海参,"['小青葱', '海参', '花椒', '酱油']"
南瓜#鸡胸肉#锅巴饭#好吃到没朋友,"['1块鸡胸肉', '适量红豆', '半个南瓜', '适量青豌豆', '1根胡萝卜', '适量香菇', '1小个洋葱', '适量花生油', '10粒花椒', '1勺耗油', '适量盐', '适量姜', '1杯大米']"
奶油霜转印,"['一个蛋糕坯', '3个裱花袋', '1个裱花嘴']"
猪肉香菇酱,"['朵香菇', '肉末']"
干煎龙利鱼,"['1片龙利鱼', '若干苦细叶', '1-2个小的红萝卜', '1-2根手指胡萝卜', '1-2根秋葵', '适量速冻玉米粒', '适量橄榄油，盐，黑胡椒，料酒']"
糙米西兰花虾仁炒饭,"['100G糙米', '220G西兰花', '全蛋一个、鸡蛋白一个鸡蛋', '75G虾仁', '10G蒜头', '2G姜']"
香椿拌豆腐,"['1把香椿', '1块嫩豆腐', '1勺盐', '2勺油', '1勺麻油', '2勺生抽']"
水煮鳝段,"['一包桥头水煮肉片调料包', '黄鳝', '豆芽 海带 土豆 莴笋都可各种铺底蔬菜', '蒜泥 葱花']"
原创钳花包系列④灯笼包,"['200克1.面粉', '100克水', '10克糖', '2克酵母', '少许油', '少许2.豆沙']"
每天带便当,"['米', '时令蔬菜']"
土豆焖饭,"['1个土豆', '半根胡萝卜', '半根玉米', '5朵干香菇', '一根素火腿', '适量素耗油', '适量生抽', '少许盐']"
麻辣鸡脖,"['500克鸡', '20克豆瓣', '40克葱白', '10克花椒粉', '10克花椒', '10克盐', '20克料酒', '20克生抽', '3克白砂糖', '8克八角', '8克香油', '5克味精', '5克大蒜', '20克姜', '80克辣椒油']"
江米条，休闲小零嘴,"['300克糯米粉', '75克麦芽糖', '适量黑芝麻', '200克水']"
绿豆糖水,"['绿豆', '海带丝', '臭草', '冰糖或片糖', '水']"
麻辣猪蹄,"['麻椒猪蹄', '香叶干辣椒', '葱郫县豆瓣酱', '蒜姜', '冰糖蚝油', '老抽生抽', '八角']"
高颜值低难度的快手版火烧云吐司,"['克糖8', '个鸡蛋2', '吐司2片', '柠檬汁5滴']"
水煮海螺（附海螺的挑选方法）,"['1000克海螺', '5克姜末', '5克盐', '15克醋']"
日式土豆色拉面包,"['1000g风和制菓全粒粉', '220g液体酵种', '9g鲜酵母', '20g食盐', '830g水', '土豆沙拉 适量（包馅用）', '橄榄油 适量（刷表面用）']"
小乌龟菠萝包,"['1份菠萝皮', '175克高粉', '75克低粉', '3克干酵母', '40克细砂糖', '3克盐', '25克蛋液', '135克牛奶', '25克黄油', '1份奶酥馅']"
辣白菜香肠炒年糕,"['100克年糕', '50克辣白菜', '1根香肠', '5克蒜', '5克香菜', '5克葱', '1勺油', '0.2匙克味精']"
纯味抹茶曲奇,"['230克低筋面粉', '10克无糖抹茶粉', '100克糖粉', '125克黄油', '1个蛋液']"
猪里脊沙拉【碧鬼】,"['5g芥末', '16g蛋黄酱', '1g盐', '80g里脊肉', '18g小西红柿', '20g鹌鹑蛋', '27g黄桃', '0.3g橄榄油', '1.6g黑胡椒', '10g紫生菜', '10g大叶生菜', '8g苦菊', '少量玉米粒、橄榄、红豆']"
假的豆乳盒子,"['1个@盒子', '切成盒子大小的2片@戚风蛋糕', '@豆浆卡仕达酱', '一小碗黄豆粉（豆浆）', '3个蛋黄', '30克细砂糖', '20克低筋面粉', '10克玉米淀粉', '@鲜奶油', '200克淡奶油', '20克细砂糖', '适量@黄豆粉']"
无糖脱脂酸奶,"['一个酸奶机 ', '1克酸奶菌粉', '110克脱脂奶粉', '700ml左右40度左右温开水', '10g乳清蛋白粉', '一丢丢代糖', '一副筷子']"
西班牙風炒鸡肉,"['1只去骨鸡肉', '半颗甜椒', '半颗洋葱', '1大匙(2-3瓣)大蒜末', '1大匙橄榄油', '4-5颗洋菇', '2大匙米酒', '2大匙水', '3大匙小磨坊西班牙海鲜酱', '4-5小朵烫熟花椰菜']"
在家做羊肉烩面（从汤到面）,"['500克羊骨', '200克羊肉（羊肉片/牛肉片）', '200克面粉', '适量海带丝', '1张豆腐皮', '适量木耳', '1把绿叶蔬菜（菠菜/油菜）']"
妈妈的味道——酸辣包心菜,"['1个包菜', '3克盐', '10克糖', '3勺醋', '2勺生抽', '3个辣椒', '适量玉米淀粉', '适量猪里脊']"
🍐番茄土豆牛肉面🥩,"['半个土豆', '1个西红柿', '20克牛肉', '1个雪梨', '20克宝宝面']"
椰蓉小餐包,"['400克面粉', '2个鸡蛋', '30克糖', '5克酵母', '40克黄油', '80克椰蓉', '40克奶粉']"
白汁鸡腿蘑菇意面（减脂人士必备）,"['50g份意面  ', '70g（随意即可）白蘑菇', '30g （随意即可）菠菜梗', '75g （随意即可）西兰花', '90g洋葱', '1个130g鸡腿', '4瓣大蒜', '适量黑胡椒', '适量盐', '少许水淀粉']"
Carbonara大虾蟹味菇意粉,"['一小块黄油', '15克盐', '半个洋葱', '2个蛋黄', '150ml牛奶', '3片芝士', '两小把蟹味菇', '3只虾仁', '一小把欧芹', '1勺黑胡椒', '10克糖']"
黄芪花生粥,"['100g花生', '100g去核红枣', '20g黄芪', '适量粳米']"
懒人滑菇嫩豆腐,"['1块嫩豆腐', '1盒秀珍菇', '2勺生抽', '适量盐', '适量糖', '半勺耗油（可不用）']"
肉松小贝蛋糕🍰,"['👇👇👇蛋糊👇', '90克低筋面粉（白燕）', '5个蛋糊', '50克牛奶', '40克玉米油', '1克盐', '👇👇👇打发蛋白👇', '5个蛋白', '80克细砂糖', '👇👇👇👇', '适量沙拉酱', '适量海苔肉松']"
入口即溶🥔土豆香菇炖肉,"['3个土豆', '10朵香菇', '适量五花肉', '适量熟芝麻']"
午夜食堂の鸡蛋马铃薯沙律,"['3个鸡蛋', '中等一个马铃薯', '半条青瓜', '1/3条红萝卜', '适量芝麻沙律酱', '各少许盐、糖、胡椒粉', '装饰可省略白芝麻']"
鸡蛋肠粉,"['1个鸡蛋', '2汤勺澄粉', '3汤勺水', '半根小葱', '1克盐', '1克油', '适量海鲜酱油']"
下饭菜-豆角肉丁,"['500克豆角', '250克肉丁', '5瓣蒜末', '5片姜末', '2勺老抽', '5勺生抽', '1勺盐']"
故宫水晶大白菜饺子,"['60克按照原方子，澄粉', '15克玉米淀粉', '85毫升开水', '馅料随便自己喜欢']"
广式香菇滑鸡包,"['馅料：', '300克鸡肉', '200克香菇', '20克胡萝卜', '各适量调料：料酒、麻油、鸡汁、盐、糖、味精、胡椒粉、姜葱蒜粉、玉米粉', '面团', '500克低筋粉', '70-80克糖', '10克奶粉', '6克耐高糖酵母', '250克水', '20克玉米油']"
水煮豆腐,"['北豆腐', '萝卜苗', '干辣椒', '花椒', '郫县豆瓣酱']"
奥利奥奶盖,"['奥利奥牛奶', '打泡器奶茶', '糖粉']"
家庭版红烧排骨,"['500克排骨', '1勺料酒', '适量盐', '4片姜片', '1勺生抽', '1根胡萝卜', '半个洋葱', '6瓣大蒜子', '4个小米辣', '1瓶啤酒', '5粒冰糖', '1个土豆', '2个青椒']"
老少皆宜的槐花煎蛋,"['200克槐花', '3个鸡蛋', '少许香葱末', '适量盐', '少许糖']"
椰奶芒果布丁,"['500ml牛奶', '400ml椰浆', '100ml水', '20g吉利丁片', '100g白糖', '适量芒果']"
潮音潮人：潮汕生腌血蛤,"['1斤血蛤', '3根辣椒', '12瓣蒜瓣', '1块生姜', '2根香菜', '适量黑醋', '适量鱼露', '适量生抽', '适量油']"
中餐厅4张亮之麻婆豆腐,['根据个人豆腐']
翻糖包的做法详解,['克200糖粉']
韩式炸酱意面,"['韩国春酱', '意大利面', '肉末', '黄瓜']"
超浓郁的咖喱土豆茄子,"['2个土豆', '1个茄子', '一整块咖喱块', '2片葱', '1片姜']"
简单易做下饭啤酒鱼,"['1条大罗非鱼', '2个番茄', '一小把粉丝', '6片姜片', '6瓣蒜头', '少许香葱', '一小撮香茜']"
鹌鹑蛋红烧肉,"['20个鹌鹑蛋', '500g五花肉', '适量老抽', '适量生抽', '2片姜', '4到5颗冰糖', '5瓣蒜', '2个八角', '适量盐', '适量料酒', '3片香叶', '1小段桂皮']"
家常版炸酱面,"['50克左右（随意）猪肉', '面条', '一段3厘米左右胡萝卜', '2大勺黄豆酱', '一根豆子', '适量淀粉', '适量老酒', '一小勺盐巴', '5个香菇干']"
爆炒泥鳅,"['250克泥鳅', '二勺料酒']"
低脂轻食红酱鸡肉意大利面,"['100克意大利面', '100克鸡胸肉', '70克西兰花', '半个西红柿', '半个洋葱', '1颗蒜头', '适量橄榄油', '2汤匙生抽', '1汤匙料酒', '1汤匙蜂蜜', '适量黑胡椒碎', '3片生姜', '1汤匙番茄酱', '2勺盐巴']"
无黄油版零失败雪媚娘,"['120克糯米粉', '30克玉米淀粉', '40克白糖', '160克纯牛奶', '20克玉米油', '250g克淡奶油', '五块奥利奥饼干', '若干其他喜欢的水果']"
韩式杂蔬泡菜面,"['面', '香菇4朵', '豆芽', '大蒜3瓣', '尖椒半个', '一勺泡菜汁', '一勺酱油', '3G糖', '一勺半米醋', '一勺韩国辣酱', '三分之一勺香油', '1G鸡精', '3勺水', '泡菜']"
爆浆肥牛卷,"['#主料', '10片肥牛', '10根芝士棒', '#调料', '0.5g盐', '0.5g黑胡椒粉', '8g食用油', '#料汁', '15g生抽', '15g蜂蜜', '15g料酒', '15g醋', '1g黑胡椒粉']"
苹果照烧猪排骨,"['35g禾然有机酱油', '20g禾然有机米香料酒', '500g猪肋排', '50g口蘑', '50g蟹味菇', '50g白玉菇', '1把芝麻菜', '1把红边生菜', '4-5个圣女果', '半个青苹果', '5瓣儿大蒜', '2片姜', '适量白芝麻', '适量海苔碎', '3g淀粉']"
鲜虾牛肉拌面,"['100g干切牛肉（自己卤制）', '200g虾', '200g西红柿', '200g荷兰豆', '3大勺耗油', '少许盐', '3大勺葱油(家里存货)', '300g拉面（挂面）']"
【独家】巴斯克草莓芝士蛋糕,"['100克草莓果茸', '260克奶油奶酪', '65克细砂糖', '150克淡奶油', '6.5克玉米淀粉', '2个鸡蛋']"
邪恶芝士泡面,"['1个鸡蛋', '多多芝士', '1根泡面搭档', '1包泡面']"
咸蛋黄流沙包,"['  馅料部分', '5个鸭蛋黄（不能是那种加工好的蛋黄）', '50克黄油', '30克牛奶', '40克吉士粉', '皮的部分', '250克中筋面粉', '100克南瓜', '3克酵母粉', '1克盐', '15克砂糖', '2克植物油']"
南瓜浓汤,"['南瓜', '肉末', '葱']"
秒杀某基的奥尔良烤鸡腿,"['10只鸡小腿', '60克良新奥尔良烤翅料', '20克水', '适量蜂蜜']"
煎饺,"['少量芝麻', '6只速冻煎饺', '少量油', '少量水']"
混沌皮版的春卷,"['适量馄饨皮', '适量土豆', '适量胡萝卜', '适量盐', '适量生抽', '适量孜然']"
紫薯山药·茶巾绞,"['1个紫薯', '1根山药']"
节后清清肠胃丨菜粥&莴笋土豆丝 · 圆满素食,"['适量莴笋丝', '适量土豆丝', '适量辣椒丝', '适量生姜丝', '少量植物油', '少量盐、味精']"
酿青椒,"['青椒', '肉馅', '葱姜', '生抽', '蚝油', '香醋', '盐鸡精', '胡椒粉', '水淀粉']"
巧克力味牛轧糖,"['100克无盐黄油', '300克棉花糖', '100克巧克力酱', '200克奶粉', '300克熟花生米']"
赤小豆土茯苓汤,"['克茯苓', '赤小豆', '骨头', '陈皮']"
鸡蛋蚝仔煎,"['约300克新鲜的蚝仔', '3只鸡蛋', '3根韭菜', '5克姜', '少许料酒', '少许盐']"
超级简单的宝宝意粉,"['半片芝士', '适量意粉', '适量蘑菇', '适量虾仁', '适量西兰花']"
【素食主义】粉蒸茼蒿,"['茼蒿', '小麦淀粉', '蒜头', '色拉油', '盐']"
鳗鱼饭（鲜活鳗鱼）,"['1条鳗鱼', '1份照烧酱/烧烤酱', '鸡蛋', '配菜', '蜂蜜/红糖']"
二分钟烧出鲜嫰的白灼鱿鱼,"['400克鱿鱼', '适量盐、绍酒、姜丝']"
白萝卜粉丝汆丸子,"['猪肉馅', '白萝卜', '粉丝', '花椒面', '葱姜', '油，盐，味精', '香油，植物油', '香菜', '醋，生抽，老抽']"
培根鸡蛋玛芬,"['120g培根碎', '1/2杯葱花', '1杯切达芝士碎', '#干性材料', '1+1/4杯面粉', '1茶勺泡打粉', '1/4 茶勺苏打粉', '#湿性材料', '1/2杯+1/2茶勺白醋牛奶', '1/2茶勺盐', '5茶勺全脂酸奶油', '2茶勺融化黄油', '1个鸡蛋', '#其它', '4个鸡蛋', '1茶勺黄油', '1杯=250ml']"
杏仁鸡蛋葱花饼(生酮),"['2个鸡蛋', '随意杏仁粉', '随意葱花', '4g泡打粉', '靠感觉水', '看个人喜好盐', '15克黄油', '两片(可加可不加)奶酪片']"
豉油皇酱汁,"['20克葱，打结', '15克姜，切片', '50克小洋葱，切块', '40克京葱，切块', '20克油', '80克西芹，切块', '80克胡萝卜，切块', '50克新鲜香菜', '70克生抽', '70克老抽', '70克美味鲜酱油', '25克鱼露', '100克糖', '1400克水']"
宝宝藕粉果羹,"['10克藕粉', '80克沸水', '20克凉白开', '30克猕猴桃呢', '30克红火红果']"
